year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2002,ARGENTINA,AR,CRUZ DEL EJE,AR-14028,CORDOBA,AR-14,1558.99887
2002,ARGENTINA,AR,EL ALTO,AR-10056,CATAMARCA,AR-10,838.3500185
2002,ARGENTINA,AR,FIGUEROA,AR-86070,SANTIAGO DEL ESTERO,AR-86,1568.195187
2002,ARGENTINA,AR,FORMOSA,AR-34014,FORMOSA,AR-34,193.7585876
2002,ARGENTINA,AR,FRAY JUSTO SANTA MARIA DE ORO,AR-22043,CHACO,AR-22,1213.311626
2002,ARGENTINA,AR,FRAY MAMERTO ESQUIU,AR-10063,CATAMARCA,AR-10,1.498678327
2002,ARGENTINA,AR,GENERAL ANGEL V. PENALOZA,AR-46056,LA RIOJA,AR-46,34.01479342
2002,ARGENTINA,AR,GENERAL BELGRANO,AR-22049,CHACO,AR-22,2194.682139
2002,ARGENTINA,AR,GENERAL BELGRANO,AR-46063,LA RIOJA,AR-46,230.6888166
2002,ARGENTINA,AR,GENERAL DONOVAN,AR-22056,CHACO,AR-22,91.09392807
2002,ARGENTINA,AR,GENERAL GUEMES,AR-22063,CHACO,AR-22,2365.485025
2002,ARGENTINA,AR,GENERAL GUEMES,AR-66049,SALTA,AR-66,413.2218936
2002,ARGENTINA,AR,GENERAL JOSE DE SAN MARTIN,AR-66056,SALTA,AR-66,8482.746281
2002,ARGENTINA,AR,GENERAL JUAN F. QUIROGA,AR-46070,LA RIOJA,AR-46,25.08571701
2002,ARGENTINA,AR,GENERAL OBLIGADO,AR-82049,SANTA FE,AR-82,3015.58135
2002,ARGENTINA,AR,GENERAL OCAMPO,AR-46084,LA RIOJA,AR-46,464.1182341
2002,ARGENTINA,AR,GENERAL SAN MARTIN,AR-46091,LA RIOJA,AR-46,740.7406834
2002,ARGENTINA,AR,GENERAL TABOADA,AR-86077,SANTIAGO DEL ESTERO,AR-86,14783.71764
2002,ARGENTINA,AR,GRANEROS,AR-90035,TUCUMAN,AR-90,737.1483506
2002,ARGENTINA,AR,GUASAYAN,AR-86084,SANTIAGO DEL ESTERO,AR-86,5086.382933
2002,ARGENTINA,AR,INDEPENDENCIA,AR-22070,CHACO,AR-22,4811.985662
2002,ARGENTINA,AR,ISCHILIN,AR-14049,CORDOBA,AR-14,7542.256049
2002,ARGENTINA,AR,JIMENEZ,AR-86091,SANTIAGO DEL ESTERO,AR-86,8334.090765
2002,ARGENTINA,AR,JUAN B. ALBERDI,AR-90042,TUCUMAN,AR-90,2.145160086
2002,ARGENTINA,AR,JUAN F. IBARRA,AR-86098,SANTIAGO DEL ESTERO,AR-86,15913.10014
2002,ARGENTINA,AR,JUNIN,AR-74049,SAN LUIS,AR-74,554.236969
2002,ARGENTINA,AR,LA CANDELARIA,AR-66084,SALTA,AR-66,561.5296082
2002,ARGENTINA,AR,LA COCHA,AR-90049,TUCUMAN,AR-90,200.2351664
2002,ARGENTINA,AR,LAISHI,AR-34021,FORMOSA,AR-34,336.5728439
2002,ARGENTINA,AR,LA PAZ,AR-10070,CATAMARCA,AR-10,10633.74806
2002,ARGENTINA,AR,LA VINA,AR-66098,SALTA,AR-66,18.29708745
2002,ARGENTINA,AR,LEALES,AR-90056,TUCUMAN,AR-90,2468.217866
2002,ARGENTINA,AR,LIBERTAD,AR-22077,CHACO,AR-22,433.5403656
2002,ARGENTINA,AR,LIBERTADOR GENERAL SAN MARTIN,AR-22084,CHACO,AR-22,718.5648013
2002,ARGENTINA,AR,LIBERTADOR GENERAL SAN MARTIN,AR-74063,SAN LUIS,AR-74,612.3671679
2002,ARGENTINA,AR,LORETO,AR-86105,SANTIAGO DEL ESTERO,AR-86,649.2145356
2002,ARGENTINA,AR,MAIPU,AR-22091,CHACO,AR-22,1395.833547
2002,ARGENTINA,AR,MATACOS,AR-34028,FORMOSA,AR-34,84.11506325
2002,ARGENTINA,AR,MAYOR LUIS J. FONTANA,AR-22098,CHACO,AR-22,2697.893395
2002,ARGENTINA,AR,METAN,AR-66112,SALTA,AR-66,2796.117385
2002,ARGENTINA,AR,MINAS,AR-14070,CORDOBA,AR-14,442.9919203
2002,ARGENTINA,AR,MITRE,AR-86112,SANTIAGO DEL ESTERO,AR-86,1732.206252
2002,ARGENTINA,AR,MORENO,AR-86119,SANTIAGO DEL ESTERO,AR-86,48177.71058
2002,ARGENTINA,AR,O'HIGGINS,AR-22112,CHACO,AR-22,902.8825331
2002,ARGENTINA,AR,OJO DE AGUA,AR-86126,SANTIAGO DEL ESTERO,AR-86,4971.997254
2002,ARGENTINA,AR,ORAN,AR-66126,SALTA,AR-66,2980.009924
2002,ARGENTINA,AR,PALPALA,AR-38042,JUJUY,AR-38,14.21769651
2002,ARGENTINA,AR,PATINO,AR-34035,FORMOSA,AR-34,3082.487872
2002,ARGENTINA,AR,PELLEGRINI,AR-86133,SANTIAGO DEL ESTERO,AR-86,3408.156892
2002,ARGENTINA,AR,PILAGAS,AR-34042,FORMOSA,AR-34,252.0795532
2002,ARGENTINA,AR,PILCOMAYO,AR-34049,FORMOSA,AR-34,446.4349384
2002,ARGENTINA,AR,PIRANE,AR-34056,FORMOSA,AR-34,955.3409567
2002,ARGENTINA,AR,POCHO,AR-14077,CORDOBA,AR-14,281.6013458
2002,ARGENTINA,AR,PRESIDENCIA DE LA PLAZA,AR-22119,CHACO,AR-22,159.5870379
